"Fartøy","Name","From","To","Length","Type","GrossTonnage","IMO"
"EIDSVAAG MARIN","Eidsvaag Marin","Ukjent havn i ukjent land","Bergen","58.6","31","1122","9133525"
"AMALIE","Amalie","Mongstad","Eide Sotra","88","22","1624","9163702"
"STAVANGERFJORD","Stavangerfjord","Bergen","Hirtshals","170","43","31678","9586605"
"NORMAND OCEANIC","Normand Oceanic","Offshoreinst North Sea","Gismarvik","156.9","80","16511","9468205"
"FALKBERG","Falkberg","Eide","Dirdal","81.35","22","1850","9375446"
"OV UTVÆR","Ov Utvær","Ukjent havn i ukjent land","Ukjent havn i ukjent land","44","80","907","9628609"
"CORAL ENERGY","Coral Energy","Fredrikstad","Nynäshamn","155.64","13","13501","9617698"
"SHJANDUR","Shjandur","Ukjent havn i ukjent land","Ukjent havn i ukjent land","23","31","129","7905235"
"DANTIC","Dantic","Ukjent havn i ukjent land","Ukjent havn i ukjent land","63.17","22","1139","8124498"
"","","","","","","",""
"BERGEN STAR","Bergen Star","Mongstad","Mongstad","89.99","11","3618","9321603"
"COMABAR","Comabar","Haugesund","Haugesund","63.02","21","1211","8411231"
"VIKING PRINCE","Viking Prince","Offshoreinst North Sea","North sea","89.6","51","5381","9596296"
"FALKNES","Falknes","Breiviga","Breiviga","72.9","22","1276","7053264"
"BERGENSFJORD","Bergensfjord","Hirtshals","Bergen","170","43","31678","9586617"
"BUCENTAUR","Bucentaur","IJmuiden/Velsen","North sea","77.35","80","2768","8112548"
"NORMAND SKUDE","Normand Skude","North sea","Kristiansund","87.22","51","4609","9731250"
"FRAKT FJORD","Frakt Fjord","Kambo","Jelsa","89.95","22","2999","9356581"
"EDDA FRENDE","Edda Frende","North sea","Husøy - Karmøy","85.8","51","3693","9409730"
"ISLAND CHALLENGER","Island Challenger","North sea","North sea","93","51","4382","9371696"
"LOS 124","Los 124","Ukjent havn i ukjent land","Ukjent havn i ukjent land","16","0","1","0"
"BB POWER","Bb Power","Ukjent havn i ukjent land","Ukjent havn i ukjent land","42.5","61","1155","9694804"
"BB WORKER","Bb Worker","Ukjent havn i ukjent land","Harwich","37.06","61","781","9360051"
"KEY MARIN","Key Marin","Avaldsnes","Kambo","88.42","11","2262","9297228"
"BB COASTER","Bb Coaster","Ukjent havn i ukjent land","Sauda","32","61","475","9502685"
"HANNI","Hanni","Orkanger","Rotterdam","117.9","22","5056","9188506"
"SC ASTREA","Sc Astrea","Håvik","Esbjerg","129.1","34","9528","8917895"
"FAR SYGNA","Far Sygna","Ukjent havn i ukjent land","Ukjent havn i ukjent land","94.65","51","4797","9665798"
"SKANDI MAROY","Skandi Maroy","North sea","North sea","82.2","51","3588","9625023"
"SEA CRUISE","Sea Cruise","Ukjent norsk havn","Ukjent norsk havn","21.1","41","55","0"
"NAUTILUS","Nautilus","Ukjent norsk havn","Ukjent norsk havn","16","0","30","0"
"BERGENSFJORD","Bergensfjord","Bergen","Hirtshals","170","43","31678","9586617"
"FALKÅS","Falkås","Ukjent havn i ukjent land","Ukjent havn i ukjent land","49.59","22","704","7030793"
"","","","","","","",""
"SAEBORG","Saeborg","North sea","North sea","86","51","3260","9535292"
"DANTIC","Dantic","Ukjent havn i ukjent land","Ukjent havn i ukjent land","63.17","22","1139","8124498"
"CEMSTAR","Cemstar","Kristiansand","Bøneset - Karmøy","113.7","21","4082","7527849"
"RUMBA","Rumba","Hamburg","Husøy - Karmøy","132.6","32","6704","9264714"
"FALKNES","Falknes","Breiviga","Breiviga","72.9","22","1276","7053264"
"STAVANGERFJORD","Stavangerfjord","Hirtshals","Bergen","170","43","31678","9586605"
"KL BARENTSFJORD","Kl Barentsfjord","Norway Offshore","Norway Offshore","94.9","0","4150","9482366"
"NAO STORM","Nao Storm","Aberdeen","Offshoreinst North Sea","83.31","51","3636","9722510"
"STRIL ORION","Stril Orion","North sea","North sea","93.5","51","4323","9584554"
"NYSTEIN","Nystein","Ukjent havn i ukjent land","Ukjent havn i ukjent land","82.38","22","1864","9137284"
"REM HRIST","Rem Hrist","North sea","Mongstadbase","88.8","51","4157","9521655"
"FALKÅS","Falkås","Ukjent havn i ukjent land","Ukjent havn i ukjent land","49.59","22","704","7030793"
"BIOSTAR","Biostar","Averøy","Averøy","69.6","22","1461","9226176"
"NORMAND RANGER","Normand Ranger","Bergen","Aberdeen","91","51","7480","9413432"
"BOUGA","Bouga","Odda","Tallinn","95","0","2999","9190353"
"ELEKTRON II","Elektron Ii","Rotterdam","Drammen","77.2","34","1628","6930520"
"DANTIC","Dantic","Ukjent havn i ukjent land","Ukjent havn i ukjent land","63.17","22","1139","8124498"
"GULLAAS","Gullaas","Fredrikstad","Ukjent norsk havn","67.35","22","1167","8700993"
"LISA D","Lisa D","Lübeck","","73.72","31","1162","8205187"
"TARNFORS","Tarnfors","Slagentangen","Egersund","115.1","11","5698","9167930"
"SC CONNECTOR","Sc Connector","Husøy - Karmøy","Immingham","154.5","32","12251","9131993"
"","","","","","","",""
"ARCADIA","Arcadia","Southampton","Olden","285.11","44","84342","9226906"
"STAVANGERFJORD","Stavangerfjord","Bergen","Hirtshals","170","43","31678","9586605"
"","","","","","","",""
"FALKSUND","Falksund","Fiska","TBN","74.91","22","1297","8420725"
"AURA","Aura","Hargshamn","Peterhead","101.3","0","3238","9395276"
"GRAMPIAN EXPLORER","Grampian Explorer","Norway Offshore","North sea","71.8","51","2244","9223473"
"OV UTVÆR","Ov Utvær","Ukjent havn i ukjent land","Ukjent havn i ukjent land","44","80","907","9628609"
"RUMBA","Rumba","Måløy","Hamburg","132.6","32","6704","9264714"
"NS FRAYJA","Ns Frayja","North sea","North sea","97","51","5165","9657650"
"FALKNES","Falknes","Breiviga","Breiviga","72.9","22","1276","7053264"
"LARISSA","Larissa","Offshoreinst North Sea","Skålevik","98.62","52","6072","9521033"
"NS ORLA","Ns Orla","Offshoreinst North Sea","Offshoreinst North Sea","97","51","5165","9657648"
"FAR SUN","Far Sun","North sea","North sea","94.65","51","4797","9665786"
"BERGENSFJORD","Bergensfjord","Hirtshals","Bergen","170","43","31678","9586617"
"SKANDI FEISTEIN","Skandi Feistein","Offshoreinst North Sea","Offshoreinst North Sea","87.9","51","3959","9607693"
"STRILMØY","Strilmøy","North sea","North sea","85.65","51","3331","9328546"
"FAR SIGMA","Far Sigma","Offshoreinst North Sea","Offshoreinst North Sea","87.4","51","6170","9659062"
"FAR SYGNA","Far Sygna","North sea","North sea","94.65","51","4797","9665798"
"LOS 124","Los 124","Ukjent havn i ukjent land","Ukjent havn i ukjent land","16","0","1","0"
"EIDHOLM","Eidholm","Austevoll","Bergen","69.45","31","1392","8616099"
"FALKÅS","Falkås","Ukjent havn i ukjent land","Ukjent havn i ukjent land","49.59","22","704","7030793"
"MEGA MAMMUT","Mega Mammut","Sauda","Brevik","27","61","269","9157997"
"BB COASTER","Bb Coaster","Sauda","Kårstø","32","61","475","9502685"
"NAUTICA","Nautica","Ventspils","Leirvik","87.95","22","1587","9032458"
"","","","","","","",""
"SEA CARGO EXPRESS","Sea Cargo Express","Bergen","Aberdeen","117.38","34","6693","9358060"
"REM LEADER","Rem Leader","Offshoreinst North Sea","North sea","89.6","51","5335","9627772"
"SC AHTELA","Sc Ahtela","Esbjerg","Håvik","139.5","22","8610","8911736"
"NORMAND SKIPPER","Normand Skipper","Husøy - Karmøy","North sea","92.4","51","4978","9331268"
"BERGENSFJORD","Bergensfjord","Bergen","Hirtshals","170","43","31678","9586617"
"ECL COMMANDER","Ecl Commander","Ålesund","Rotterdam","100.6","22","3850","9143829"
"SIEM SYMPHONY","Siem Symphony","North sea","North sea","89.2","51","4768","9690066"
"MAERSK INVINCIBLE","Maersk Invincible","Ukjent havn i ukjent land","Ukjent havn i ukjent land","90.5","53","26661","9711858"
"CRISTINA MASAVEU","Cristina Masaveu","Brevik","Ølen","134.2","21","8291","9443762"
"KEY STAR","Key Star","Aarhus","Vestnes","74.65","11","2160","8719102"
"SKANDI FLORA","Skandi Flora","Bergen","Offshoreinst North Sea","94.9","51","4469","9372896"
"SIDDIS SAILOR","Siddis Sailor","North sea","Florø","85","51","4601","9370070"
"DANTIC","Dantic","Ukjent havn i ukjent land","Ukjent havn i ukjent land","63.17","22","1139","8124498"
"ANTWERP FLYER","Antwerp Flyer","Ukjent havn i ukjent land","Ukjent havn i ukjent land","0","49","74","8711"
"LOS 124","Los 124","Ukjent havn i ukjent land","Ukjent havn i ukjent land","16","0","1","0"
"FALKÅS","Falkås","Ukjent havn i ukjent land","Ukjent havn i ukjent land","49.59","22","704","7030793"
"FALKBERG","Falkberg","Tau","Forsand","81.35","22","1850","9375446"
"","","","","","","",""
"SEA CARGO EXPRESS","Sea Cargo Express","Aberdeen","Husøy - Karmøy","117.38","34","6693","9358060"
"STRIL LUNA","Stril Luna","North sea","North sea","92.8","51","4829","9666546"
"STAVANGERFJORD","Stavangerfjord","Hirtshals","Bergen","170","43","31678","9586605"
"COMABAR","Comabar","Haugesund","Haugesund","63.02","21","1211","8411231"
"SKANDI KVITSØY","Skandi Kvitsøy","North sea","North sea","87.9","51","3958","9613824"
"FALKNES","Falknes","Breiviga","Finnøy","72.9","22","1276","7053264"
"FAR SYMPHONY","Far Symphony","North sea","Peterhead","86.2","51","3743","9288253"
"TRANS CARRIER","Trans Carrier","Rotterdam","Bergen","144.15","34","9953","9007879"
"SUNDSTRAUM","Sundstraum","Ukjent havn i ukjent land","Ukjent havn i ukjent land","96.25","11","3206","8920567"
"OCEAN RESPONSE","Ocean Response","Offshoreinst North Sea","Offshoreinst North Sea","74.6","51","3824","9616163"
"SC ASTREA","Sc Astrea","Immingham","Husøy - Karmøy","129.1","34","9528","8917895"
"DANTIC","Dantic","Ukjent havn i ukjent land","Ukjent havn i ukjent land","63.17","22","1139","8124498"
"FAR SIGMA","Far Sigma","Offshoreinst North Sea","Offshoreinst North Sea","87.4","51","6170","9659062"
"ESVAGT CORNELIA","Esvagt Cornelia","North sea","North sea","45.8","51","963","9678434"
"STRIL POLAR","Stril Polar","Aberdeen","TBN","93","59","4283","9590565"
"FAR SYGNA","Far Sygna","North sea","North sea","94.65","51","4797","9665798"
"STAVANGERFJORD","Stavangerfjord","Bergen","Hirtshals","170","43","31678","9586605"
"SKANDI VEGA","Skandi Vega","Bergen","North sea","109.4","51","8164","9435715"
"FALKNES","Falknes","Finnøy","Breiviga","72.9","22","1276","7053264"
"NORMAND MERMAID","Normand Mermaid","Storesund","North sea","90.1","51","5528","9249348"
"ARTIC JUNIOR","Artic Junior","Ukjent havn i ukjent land","Ukjent havn i ukjent land","68.37","22","1918","9411800"
"ISLAND COMMANDER","Island Commander","Offshoreinst North Sea","Offshoreinst North Sea","93","51","4573","9409663"
"FAR SUN","Far Sun","North sea","North sea","94.65","51","4797","9665786"
"BERGENSFJORD","Bergensfjord","Hirtshals","Bergen","170","43","31678","9586617"
"BERGEN VIKING","Bergen Viking","Mongstad","Mongstad","95.16","11","3960","9285213"
"FEED FISKAA","Feed Fiskaa","Fiska","Etne","87.72","22","2840","9115999"
"STRIL ORION","Stril Orion","North sea","North sea","93.5","51","4323","9584554"
"AMALIE","Amalie","Mongstad","Florø","88","22","1624","9163702"
"SKANDI FEISTEIN","Skandi Feistein","Offshoreinst North Sea","Offshoreinst North Sea","87.9","51","3959","9607693"
"ISLAND CHALLENGER","Island Challenger","North sea","North sea","93","51","4382","9371696"
"EIDSVAAG MARIN","Eidsvaag Marin","Bergen","TBN","58.6","31","1122","9133525"
"ARTIC JUNIOR","Artic Junior","Ukjent havn i ukjent land","Ukjent havn i ukjent land","68.37","22","1918","9411800"
"FALKSUND","Falksund","Tau","Tau","74.91","22","1297","8420725"
"BERGENSFJORD","Bergensfjord","Bergen","Hirtshals","170","43","31678","9586617"
"SEVEN ARCTIC","Seven Arctic","Ukjent havn i ukjent land","Lerwick","159.8","80","23885","9695353"
"SKANDI FLORA","Skandi Flora","Offshoreinst North Sea","Sandnessjøen","94.9","51","4469","9372896"
"BB POWER","Bb Power","Flekkefjord","Sauda","42.5","61","1155","9694804"
"NS FRAYJA","Ns Frayja","North sea","North sea","97","51","5165","9657650"
"BB TROLL","Bb Troll","Flekkefjord","Holyhead","73.8","51","2528","9203203"
"BIT VIKING","Bit Viking","Oslo","Mongstad","177.03","11","17757","9309239"
"STRIL LUNA","Stril Luna","North sea","North sea","92.8","51","4829","9666546"
"STAVANGERFJORD","Stavangerfjord","Hirtshals","Bergen","170","43","31678","9586605"
"SAEBORG","Saeborg","North sea","North sea","86","51","3260","9535292"
"STRIL POLAR","Stril Polar","Offshoreinst North Sea","Offshoreinst North Sea","93","59","4283","9590565"
"BUCENTAUR","Bucentaur","North sea","North sea","77.35","80","2768","8112548"
"PIRAJA","Piraja","Ukjent havn i ukjent land","Ukjent havn i ukjent land","0","0","566","0"
"KVARVEN","Kvarven","Ukjent havn i ukjent land","Ukjent havn i ukjent land","15","0","25","0"
"","","","","","","",""
"STRILMØY","Strilmøy","North sea","North sea","85.65","51","3331","9328546"
"SKANDI MAROY","Skandi Maroy","North sea","North sea","82.2","51","3588","9625023"
"STAVANGERFJORD","Stavangerfjord","Bergen","Hirtshals","170","43","31678","9586605"
"CORAL ENERGY","Coral Energy","Nynäshamn","Brofjorden","155.64","13","13501","9617698"
"COMABAR","Comabar","Haugesund","Haugesund","63.02","21","1211","8411231"
"FALKSUND","Falksund","Tau","Tau","74.91","22","1297","8420725"
"SKANDI KVITSØY","Skandi Kvitsøy","Ukjent havn i ukjent land","Ukjent havn i ukjent land","87.9","51","3958","9613824"
"FALKÅS","Falkås","Ukjent havn i ukjent land","Ukjent havn i ukjent land","49.59","22","704","7030793"
"FALKNES","Falknes","Breiviga","Breiviga","72.9","22","1276","7053264"
"CYPRUS CEMENT","Cyprus Cement","Etne","Rotterdam","97","22","4069","9037173"
"BERGENSFJORD","Bergensfjord","Hirtshals","Bergen","170","43","31678","9586617"
"BØEN","Bøen","Ukjent havn i ukjent land","Ukjent havn i ukjent land","33.8","71","497","9225392"
"SC CONNECTOR","Sc Connector","Rotterdam","Odda","154.5","32","12251","9131993"
"NORMAND FERKING","Normand Ferking","Flekkefjord","Ågotnes","89.5","51","7934","9361770"
"WITH JUNIOR","With Junior","Fiska","Sandnes","66.7","31","2362","9418781"
"VITIN","Vitin","Husøy - Karmøy","Tau","87.83","22","2449","9006289"
"FALKSUND","Falksund","Tau","Tau","74.91","22","1297","8420725"
"DANTIC","Dantic","Odda","TBN","63.17","22","1139","8124498"
"SIEM SYMPHONY","Siem Symphony","North sea","Offshoreinst North Sea","89.2","51","4768","9690066"
"NORHOLM","Norholm","Vejle","Porsgrunn","93.45","22","3443","9107136"
"OCEAN MARLIN","Ocean Marlin","North sea","North sea","66.8","51","2298","9669213"
"TRANS CARRIER","Trans Carrier","Håvik","Rotterdam","144.15","34","9953","9007879"
"SUNDSTRAUM","Sundstraum","Mongstad","Florø","96.25","11","3206","8920567"
"EIDSVAAG MARIN","Eidsvaag Marin","Ukjent havn i ukjent land","Bergen","58.6","31","1122","9133525"
"PORT SHANGHAI","Port Shanghai","Owendo","Sauda","189.99","0","32415","9423528"
"SANDSTRAND","Sandstrand","Ukjent havn i ukjent land","Ukjent havn i ukjent land","46.9","22","310","6525064"
"FALKNES","Falknes","Breiviga","Breiviga","72.9","22","1276","7053264"
"BERGENSFJORD","Bergensfjord","Bergen","Hirtshals","170","43","31678","9586617"
"STRIL NEPTUN","Stril Neptun","North sea","North sea","70.4","51","2423","9201786"
"","","","","","","",""
"HANNI","Hanni","Orkanger","TBN","117.9","22","5056","9188506"
"KVARVEN","Kvarven","Ukjent havn i ukjent land","Ukjent havn i ukjent land","15","0","25","0"
"SAEBORG","Saeborg","North sea","North sea","86","51","3260","9535292"
"EVENING STAR","Evening Star","Fraserburgh","Fraserburgh","21.34","0","160","8955548"
"BOA BALDER","Boa Balder","Steinvig","Aberdeen","30.46","61","490","9462342"
"STRIL ORION","Stril Orion","North sea","Ågotnes","93.5","51","4323","9584554"
"BØEN","Bøen","Ukjent havn i ukjent land","Ukjent havn i ukjent land","33.8","71","497","9225392"
"SC ASTREA","Sc Astrea","Sandnes","Esbjerg","129.1","34","9528","8917895"
"OCEAN RESPONSE","Ocean Response","Ukjent havn i ukjent land","Ukjent havn i ukjent land","74.6","51","3824","9616163"
"FAR SYGNA","Far Sygna","North sea","North sea","94.65","51","4797","9665798"
"FAR SUN","Far Sun","North sea","North sea","94.65","51","4797","9665786"
"NORMAND SKIPPER","Normand Skipper","North sea","North sea","92.4","51","4978","9331268"
"FALKSUND","Falksund","Tau","Tau","74.91","22","1297","8420725"
"KL BARENTSFJORD","Kl Barentsfjord","Norway Offshore","Norway Offshore","94.9","0","4150","9482366"
"STAVANGERFJORD","Stavangerfjord","Hirtshals","Bergen","170","43","31678","9586605"
"FALKNES","Falknes","Breiviga","Breiviga","72.9","22","1276","7053264"
"FENSFJORD","Fensfjord","Hanstholm","Porsgrunn","111.4","22","4035","9268887"
"VITIN","Vitin","Tau","Storesund","87.83","22","2449","9006289"
"NAO STORM","Nao Storm","Offshoreinst North Sea","Offshoreinst North Sea","83.31","51","3636","9722510"
"ESVAGT BETA","Esvagt Beta","North sea","North sea","76","51","2421","8817746"
"SKANDI NOVA","Skandi Nova","North sea","North sea","82.8","51","3788","9625009"
"KVARVEN","Kvarven","Ukjent havn i ukjent land","Ukjent havn i ukjent land","15","0","25","0"
"OCEAN RESPONSE","Ocean Response","Ukjent havn i ukjent land","Ukjent havn i ukjent land","74.6","51","3824","9616163"
"ECL COMMANDER","Ecl Commander","Rotterdam","Husøy - Karmøy","100.6","22","3850","9143829"
"FAR SIGMA","Far Sigma","Offshoreinst North Sea","North sea","87.4","51","6170","9659062"
"SJOBORG","Sjoborg","Esbjerg","North sea","86","51","4000","9591923"
"BØEN","Bøen","Ukjent havn i ukjent land","Ukjent havn i ukjent land","33.8","71","497","9225392"
"NS FRAYJA","Ns Frayja","North sea","North sea","97","51","5165","9657650"
"LELIE C","Lelie C","IJmuiden/Velsen","Kristiansund","87.99","22","2450","9166443"
"STRIL POLAR","Stril Polar","Offshoreinst North Sea","Offshoreinst North Sea","93","59","4283","9590565"
"STAVANGERFJORD","Stavangerfjord","Bergen","Hirtshals","170","43","31678","9586605"
"NORNE","Norne","Kvinesdal","Porsgrunn","93.77","22","3443","9082403"
"VIKING PRINCE","Viking Prince","North sea","North sea","89.6","51","5381","9596296"
"STRIL LUNA","Stril Luna","North sea","North sea","92.8","51","4829","9666546"
"FALKNES","Falknes","Breiviga","Breiviga","72.9","22","1276","7053264"
"SKANDI FEISTEIN","Skandi Feistein","Offshoreinst North Sea","Offshoreinst North Sea","87.9","51","3959","9607693"
"BB LIFTER","Bb Lifter","Steinvig","Kårstø","53.64","51","640","7319072"
"BERGEN STAR","Bergen Star","Mongstad","Mongstad","89.99","11","3618","9321603"
"BERGENSFJORD","Bergensfjord","Hirtshals","Bergen","170","43","31678","9586617"
"FALKSUND","Falksund","Tau","Tau","74.91","22","1297","8420725"
"KVITBJØRN","Kvitbjørn","Cuxhaven","Sandnes","119.92","31","9132","9642564"
"FALKNES","Falknes","Breiviga","Breiviga","72.9","22","1276","7053264"
"SKANDI KVITSØY","Skandi Kvitsøy","North sea","North sea","87.9","51","3958","9613824"
"NOR VIKING","Nor Viking","Kvinesdal","Porsgrunn","80.12","21","2133","7600287"
"WILSON MERSIN","Wilson Mersin","Kambo","Tyssedal","106.86","22","3937","7810222"
"RUMBA","Rumba","Bremerhaven","Husøy - Karmøy","132.6","32","6704","9264714"
"SC AHTELA","Sc Ahtela","Sunndalsøra","Rotterdam","139.5","22","8610","8911736"
"ØYFJORD","Øyfjord","Hjelmeland","Vats","69.86","80","1718","9646405"
"BYLGIA","Bylgia","Rotterdam","Offshoreinst North Sea","72","51","3470","9646314"
"PEAK BORDEAUX","Peak Bordeaux","Lillesand","Skien","89.95","31","2978","9545039"
"KOLGA","Kolga","Rotterdam","Offshoreinst North Sea","72","51","3470","9646326"
"RUMBA","Rumba","Ikornnes","Hamburg","132.6","32","6704","9264714"
"STRIL ORION","Stril Orion","Ågotnes","Offshoreinst North Sea","93.5","51","4323","9584554"
"NORSUND","Norsund","Leirvik","Rubbestadneset","89.5","22","2705","9007075"
"BERGENSFJORD","Bergensfjord","Bergen","Hirtshals","170","43","31678","9586617"
"FALKNES","Falknes","Breiviga","Breiviga","72.9","22","1276","7053264"
"NORHOLM","Norholm","Ukjent havn i ukjent land","Ukjent havn i ukjent land","93.45","22","3443","9107136"
"HOLMFOSS","Holmfoss","Aberdeen","Bergen","81.55","34","3538","9359662"
"SAEBORG","Saeborg","North sea","North sea","86","51","3260","9535292"
"KVARVEN","Kvarven","Ukjent havn i ukjent land","Ukjent havn i ukjent land","15","0","25","0"
"","","","","","","",""
"LOLA I","Lola I","Verdal","Brevik","54.97","21","624","6721151"
"FALKSUND","Falksund","Tau","Tau","74.91","22","1297","8420725"
"FAR SUN","Far Sun","North sea","North sea","94.65","51","4797","9665786"
"STAVANGERFJORD","Stavangerfjord","Hirtshals","Bergen","170","43","31678","9586605"
"BIOSTAR","Biostar","Averøy","Averøy","69.6","22","1461","9226176"
"OLYMPIC CHALLENGER","Olympic Challenger","Offshoreinst North Sea","Offshoreinst North Sea","105.9","51","6596","9398292"
"FALKNES","Falknes","Breiviga","Breiviga","72.9","22","1276","7053264"
"NAO STORM","Nao Storm","Offshoreinst North Sea","Offshoreinst North Sea","83.31","51","3636","9722510"
"FAR SYGNA","Far Sygna","North sea","North sea","94.65","51","4797","9665798"
"ROSLAGEN","Roslagen","Ukjent havn i ukjent land","Ukjent havn i ukjent land","0","0","677","7039531"
"SEA CARGO EXPRESS","Sea Cargo Express","Bergen","Aberdeen","117.38","34","6693","9358060"
"SC CONNECTOR","Sc Connector","Husøy - Karmøy","Immingham","154.5","32","12251","9131993"
"STRIL LUNA","Stril Luna","North sea","North sea","92.8","51","4829","9666546"
"","","","","","","",""
"KVARVEN","Kvarven","Ukjent havn i ukjent land","Ukjent havn i ukjent land","15","0","25","0"
"ECL COMMANDER","Ecl Commander","Ålesund","Rotterdam","100.6","22","3850","9143829"
"FALKNES","Falknes","Breiviga","Breiviga","72.9","22","1276","7053264"
"STAVANGERFJORD","Stavangerfjord","Bergen","Hirtshals","170","43","31678","9586605"
"SIEM SYMPHONY","Siem Symphony","Offshoreinst North Sea","Offshoreinst North Sea","89.2","51","4768","9690066"
"MAERSK FLENSBURG","Maersk Flensburg","Bremerhaven","Bergen","134.44","32","9990","9252773"
"TRANSFIGHTER","Transfighter","Esbjerg","Skogn","178.6","34","20851","9216626"
"TRANS CARRIER","Trans Carrier","Rotterdam","Tau","144.15","34","9953","9007879"
"MULTRATUG 4","Multratug 4","Vlissingen","Vlissingen","34.5","61","497","9360582"
"BERGENSFJORD","Bergensfjord","Hirtshals","Bergen","170","43","31678","9586617"
"SKANDI MARSTEIN","Skandi Marstein","Ukjent havn i ukjent land","Ukjent havn i ukjent land","83.7","51","3171","9122978"
"FALKNES","Falknes","Breiviga","Finnøy","72.9","22","1276","7053264"
"NORMAND SKUDE","Normand Skude","Kristiansund","North sea","87.22","51","4609","9731250"
"ISLAND COMMANDER","Island Commander","Offshoreinst North Sea","Offshoreinst North Sea","93","51","4573","9409663"
"FALKSUND","Falksund","Tau","Tau","74.91","22","1297","8420725"
"NORRLAND","Norrland","Paldiski Põhjasadam","Haugesund","107","34","5562","8818764"
"NORBAR","Norbar","Haugesund","Haugesund","82","21","1685","9115901"
"NYSTEIN","Nystein","Tau","","82.38","22","1864","9137284"
"ISLAND CHALLENGER","Island Challenger","North sea","North sea","93","51","4382","9371696"
"EIDSVAAG MARIN","Eidsvaag Marin","Bergen","Flekkefjord","58.6","31","1122","9133525"
"HALSVIK I","Halsvik I","Eide Sotra","Eide Sotra","67.1","22","1683","9340738"
"ISLAND VALIANT","Island Valiant","Skipavik - Gulen","TBN","93.4","51","6335","9356191"
"SC ASTREA","Sc Astrea","Immingham","Husøy - Karmøy","129.1","34","9528","8917895"
"ARTIC JUNIOR","Artic Junior","Ukjent havn i ukjent land","Ukjent havn i ukjent land","68.37","22","1918","9411800"
"BB SERVER","Bb Server","Sauda","Jelsa","37","61","763","9410612"
"OV UTVÆR","Ov Utvær","Ukjent havn i ukjent land","Ukjent havn i ukjent land","44","80","907","9628609"
"NS ORLA","Ns Orla","Offshoreinst North Sea","Offshoreinst North Sea","97","51","5165","9657648"
"BERGENSFJORD","Bergensfjord","Bergen","Hirtshals","170","43","31678","9586617"
"KVARVEN","Kvarven","Ukjent havn i ukjent land","Ukjent havn i ukjent land","15","0","25","0"
"FALKSUND","Falksund","Tau","Tau","74.91","22","1297","8420725"
"ARTIC JUNIOR","Artic Junior","Ukjent havn i ukjent land","Ukjent havn i ukjent land","68.37","22","1918","9411800"
"TERN SEA","Tern Sea","Göteborg","Tromsø","147","12","11463","9747974"
"STAVANGERFJORD","Stavangerfjord","Hirtshals","Bergen","170","43","31678","9586605"
"NS FRAYJA","Ns Frayja","North sea","Offshoreinst North Sea","97","51","5165","9657650"
"FAR SUN","Far Sun","North sea","North sea","94.65","51","4797","9665786"
"BUCENTAUR","Bucentaur","North sea","North sea","77.35","80","2768","8112548"
"VOS PASSION","Vos Passion","Vlissingen","Aberdeen","83","0","3638","9709130"
"FALKNES","Falknes","Breiviga","Breiviga","72.9","22","1276","7053264"
"KVARVEN","Kvarven","Ukjent havn i ukjent land","Ukjent havn i ukjent land","15","0","25","0"
"H. U. SVERDRUP II","H. U. Sverdrup Ii","Bergen","Bergen","55","49","1387","8921925"
"BB COASTER","Bb Coaster","Kårstø","TBN","32","61","475","9502685"
"FALKÅS","Falkås","Ukjent havn i ukjent land","Ukjent havn i ukjent land","49.59","22","704","7030793"
"STAVANGERFJORD","Stavangerfjord","Bergen","Hirtshals","170","43","31678","9586605"
"RITA","Rita","Rotterdam","Håvik","132.6","22","6701","9318931"
"STRIL ORION","Stril Orion","Offshoreinst North Sea","Offshoreinst North Sea","93.5","51","4323","9584554"
"NORMAND SKIPPER","Normand Skipper","North sea","North sea","92.4","51","4978","9331268"
"HALSVIK I","Halsvik I","Eide Sotra","Årdal - Hjelmeland","67.1","22","1683","9340738"
"ISLAND COMMANDER","Island Commander","Offshoreinst North Sea","Offshoreinst North Sea","93","51","4573","9409663"
"STRILMØY","Strilmøy","North sea","North sea","85.65","51","3331","9328546"
"OCEAN MARLIN","Ocean Marlin","North sea","TBN","66.8","51","2298","9669213"
"BERGENSFJORD","Bergensfjord","Hirtshals","Bergen","170","43","31678","9586617"
"NAO STORM","Nao Storm","Offshoreinst North Sea","Offshoreinst North Sea","83.31","51","3636","9722510"
"FAR SYGNA","Far Sygna","North sea","North sea","94.65","51","4797","9665798"
"STRIL MARINER","Stril Mariner","North sea","North sea","78.6","51","3117","9489493"
"BB SERVER","Bb Server","Jelsa","Vats","37","61","763","9410612"
"SJOBORG","Sjoborg","North sea","North sea","86","51","4000","9591923"
"SEA CARGO EXPRESS","Sea Cargo Express","Ukjent havn i ukjent land","Ukjent havn i ukjent land","117.38","34","6693","9358060"
"SKANDI FEISTEIN","Skandi Feistein","Offshoreinst North Sea","Offshoreinst North Sea","87.9","51","3959","9607693"
"STRIL POLAR","Stril Polar","Offshoreinst North Sea","North sea","93","59","4283","9590565"
"STI TEXAS CITY","Sti Texas City","Nantes","Ventspils","183","12","29732","9681106"
"BUCENTAUR","Bucentaur","North sea","North sea","77.35","80","2768","8112548"
"FAR SAPPHIRE","Far Sapphire","North sea","Offshoreinst North Sea","92.7","51","7176","9372169"
"CRISTINA MASAVEU","Cristina Masaveu","Brevik","Ølen","134.2","21","8291","9443762"
"VIKING QUEEN","Viking Queen","Bømlo","Offshoreinst North Sea","92.2","51","6111","9372901"
