"Fartøy","Name","From","To","Length","Type","GrossTonnage","IMO"
"MSC FANTASIA","Msc Fantasia","Flåm","Kiel","333.3","44","137936","9359791"
"MSC FANTASIA","Msc Fantasia","Flåm","Kiel","333.3","44","137936","9359791"
"MSC FANTASIA","Msc Fantasia","Flåm","Kiel","333.3","44","137936","9359791"
"ZUIDERDAM","Zuiderdam","Kristiansand","Flåm","285.28","44","82305","9221279"
"ZUIDERDAM","Zuiderdam","Kristiansand","Flåm","285.28","44","82305","9221279"
"QUEEN ELIZABETH","Queen Elizabeth","Southampton","Flåm","293.83","44","90901","9477438"
"QUEEN ELIZABETH","Queen Elizabeth","Southampton","Flåm","293.83","44","90901","9477438"
"QUEEN ELIZABETH","Queen Elizabeth","Rotterdam","Flåm","293.83","44","90901","9477438"
"NORDSTJERNEN","Nordstjernen","Esbjerg","Bergen","80.77","44","2191","5255777"
"MARCO POLO","Marco Polo","Hull","Flåm","176.28","44","22080","6417097"
"AIDASOL","Aidasol","Eidfjord","Hamburg","253.33","44","71304","9490040"
"AIDASOL","Aidasol","Eidfjord","Hamburg","253.33","44","71304","9490040"
"AIDASOL","Aidasol","Eidfjord","Hamburg","253.33","44","71304","9490040"
"AIDASOL","Aidasol","Eidfjord","Hamburg","253.33","44","71304","9490040"
"AIDASOL","Aidasol","Eidfjord","Hamburg","253.33","44","71304","9490040"
"AIDASOL","Aidasol","Eidfjord","Hamburg","253.33","44","71304","9490040"
"AIDASOL","Aidasol","Eidfjord","Hamburg","253.33","44","71304","9490040"
"ROTTERDAM","Rotterdam","Flåm","Kristiansand","237.95","44","61849","9122552"
"ROTTERDAM","Rotterdam","Rotterdam","Flåm","237.95","44","61849","9122552"
"ARTANIA","Artania","Lysebotn","Kristiansand","230.61","44","44656","8201480"
"ARTANIA","Artania","Lysefjorden","Kristiansand","230.61","44","44656","8201480"
"PRINSENDAM","Prinsendam","Bergen","IJmuiden/Velsen","204","44","37983","8700280"
"MONARCH","Monarch","Rostock","Haugesund","268.32","44","73937","8819500"
"MONARCH","Monarch","Eidfjord","Rostock","268.32","44","73937","8819500"
"MONARCH","Monarch","Rostock","Haugesund","268.32","44","73937","8819500"
"MONARCH","Monarch","Haugesund","Rostock","268.32","44","73937","8819500"
"MONARCH","Monarch","Haugesund","Skjolden","268.32","44","73937","8819500"
"MONARCH","Monarch","Skjolden","Kristiansand","268.32","44","73937","8819500"
"MONARCH","Monarch","Haugesund","Eidfjord","268.32","44","73937","8819500"
"MONARCH","Monarch","Eidfjord","Rostock","268.32","44","73937","8819500"
"MONARCH","Monarch","Rostock","Haugesund","268.32","44","73937","8819500"
"MONARCH","Monarch","Haugesund","Rostock","268.32","44","73937","8819500"
"DISNEY MAGIC","Disney Magic","København","Ålesund","294.06","44","83969","9126807"
"DISNEY MAGIC","Disney Magic","Dover","Ålesund","294.06","44","83969","9126807"
"COSTA MAGICA","Costa Magica","Flåm","Bremerhaven","272.2","44","102587","9239795"
"COSTA MAGICA","Costa Magica","Amsterdam","Geiranger","272.2","44","102587","9239795"
"COSTA MAGICA","Costa Magica","Flåm","Bremerhaven","272.2","44","102587","9239795"
"COSTA MAGICA","Costa Magica","Olden","Bremerhaven","272.2","44","102587","9239795"
"COSTA MAGICA","Costa Magica","Olden","Bremerhaven","272.2","44","102587","9239795"
"COSTA MAGICA","Costa Magica","Hellesylt","Bremerhaven","272.2","44","102587","9239795"
"AMADEA","Amadea","Lysebotn","Hamburg","190","44","29008","8913162"
"LE SOLEAL","Le Soleal","Ålesund","Kristiansand","142.1","44","10992","9641675"
"CROWN PRINCESS","Crown Princess","Southampton","Flåm","288.63","44","113651","9293399"
"CROWN PRINCESS","Crown Princess","Southampton","Olden","288.63","44","113651","9293399"
"CROWN PRINCESS","Crown Princess","Southampton","Flåm","288.63","44","113651","9293399"
"SILVER WIND","Silver Wind","Bergen","London","155.81","44","16927","8903935"
"SILVER WIND","Silver Wind","Bergen","London","155.81","44","16927","8903935"
"BERLIN","Berlin","Zeebrugge","Eidfjord","139.3","44","9570","7904889"
"INDEPENDENCE OF THE SEAS","Independence Of The Seas","Southampton","Kristiansand","338.7","44","154407","9349681"
"AZAMARA JOURNEY","Azamara Journey","Olden","København","181","44","30277","9200940"
"HAMBURG","Hamburg","Kiel","Flåm","144.13","44","15067","9138329"
"QUEEN MARY 2","Queen Mary 2","Flåm","Hamburg","345.03","44","148528","9241061"
"MEIN SCHIFF 6","Mein Schiff 6","Flåm","Hamburg","295.26","44","98811","9753208"
"THOMSON CELEBRATION","Thomson Celebration","Newcastle upon Tyne","Akureyri","214.66","44","33933","8027298"
"THOMSON CELEBRATION","Thomson Celebration","Eidfjord","Arendal","214.66","44","33933","8027298"
"SERENISSIMA","Serenissima","Lysefjorden","Haugesund","87.41","44","2598","5142657"
"SEVEN SEAS EXPLORER","Seven Seas Explorer","Bergen","Skagen","224.02","44","55254","9703150"
"AIDACARA","Aidacara","Eidfjord","Oslo","193","44","38557","9112789"
"AIDACARA","Aidacara","Olden","Oslo","193","44","38557","9112789"
"AIDACARA","Aidacara","Olden","Oslo","193","44","38557","9112789"
"AIDACARA","Aidacara","Oslo","Eidfjord","193","44","38557","9112789"
"AIDAMAR","Aidamar","Oslo","Hamburg","253.22","44","71304","9490052"
"MEIN SCHIFF 1","Mein Schiff 1","Haugesund","Oslo","263.9","44","76998","9106297"
"ALBATROS","Albatros","Lysefjorden","Olden","205.46","44","28518","7304314"
"AURORA","Aurora","Alta","Southampton","270","44","76152","9169524"
"AIDABELLA","Aidabella","Ulvik","Kiel","251.89","44","69203","9362542"
"VOS SENTINEL","Vos Sentinel","North sea","Norway Offshore","46.7","51","673","8121410"
"VOS MASTER","Vos Master","North sea","Norway Offshore","66.5","51","1607","9103893"
"PORTLAND SENTINEL","Portland Sentinel","Norway Offshore","Norway Offshore","62","0","2173","9761413"
"TERNSUND","Ternsund","Trondheim","Slagentangen","147","0","11463","9722390"
"NINA","Nina","Karlshamn","Vats","82.5","31","1864","9156199"
"CORONEL","Coronel","Rotterdam","Jelsa","86.6","22","2089","7703259"
"ECL CHALLENGER","Ecl Challenger","Ålesund","Rotterdam","100.6","22","3833","9114787"
"RITA","Rita","Rotterdam","Håvik","132.6","22","6701","9318931"
"NORMAND OCEANIC","Normand Oceanic","Ukjent havn i ukjent land","Ukjent havn i ukjent land","156.9","80","16511","9468205"
"ANNE","Anne","Tønsberg","Egersund","90.6","22","2035","9118006"
"ECL COMMANDER","Ecl Commander","Rotterdam","Husøy - Karmøy","100.6","22","3850","9143829"
"NORTH PURPOSE","North Purpose","Offshoreinst North Sea","Offshoreinst North Sea","86.8","51","3639","9439462"
"STRILMØY","Strilmøy","North sea","TBN","85.65","51","3331","9328546"
"HAVBLIK","Havblik","Mariager","Maurholen","61.5","21","840","7002318"
"FAR SUN","Far Sun","North sea","North sea","94.65","51","4797","9665786"
"ISLAND COMMANDER","Island Commander","Offshoreinst North Sea","TBN","93","51","4573","9409663"
"TARNFORS","Tarnfors","Slagentangen","Kristiansand","115.1","11","5698","9167930"
